description,id,a1,a2,a3,a4,a5,a6,a7,a8,b1,b2,b3
Standing,sta,0.972,0.0001472,0.5,1.25,1.175,,,,,,
"Vasquez and Beggs (<30 API)",vablo,0.0004677,1.751E-05,-1.8106E-08,,,,,,,,
"Vasquez and Beggs (>30 API)",vabhi,0.000467,1.1E-05,1.337E-09,,,,,,,,
Glaso,gla,-6.58511,2.91329,0.27683,0.526,0.968,,,,,,
"Al-Marhoun 1",alma,0.497069,0.000862963,0.00182594,3.18099E-06,0.74239,0.323294,-1.20204,,,,
"Abdul-Majeed and Salman",ams,0.9657876,0.000773,4.8141E-05,-6.8987E-10,1.2,-0.147,-5.222,,,,
"Dokla and Osman",dao,0.0431935,0.00156667,0.00139775,3.80525E-06,0.773572,0.40402,-0.882605,,,,
"Petrosky and Farshad",paf,1.0113,7.2046E-05,0.3738,0.2914,0.6265,0.24626,0.5371,3.0936,,,
"Al-Marhoun 2",almb,0.000177342,0.000220163,4.29258E-06,0.000528707,,,,,,,
"Omar and Todd",oat,,,,,,,,,1.1663,0.000762,-0.0399
Almehaideb,adb,1.122018,1.41E-06,,,,,,,,,
"Macary and El-Batanoney",mae,1.0031,0.0008,0.0004,0.0006,,,,,,,
"Kartoatmodjo and Schmidt",kas,0.98496,0.0001,0.755,0.25,1.5,0.45,1.5,,,,
"Al-Shammasi (4 variables)",as4v,5.53E-07,0.000181,0.000449,0.000206,,,,,,,
"Al-Shammasi (3 variables)",as3v,0.000412,0.00065,,,,,,,,,
